2026-08-01 19:50:00 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | test | test cennika - zmiana treści
2026-08-01 19:50:23 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | Cennik | Wszystkie wizyty obejmują indywidualną ocenę oraz terapię dopasowaną bezpośrednio do Twoich potrzeb.
2026-08-01 19:54:40 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | test | test
2026-08-01 19:56:35 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | Cennik | Wszystkie wizyty obejmują indywidualną ocenę oraz terapię dopasowaną bezpośrednio do Twoich potrzeb.
2026-08-01 20:32:19 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | Cennik | Wszystkie wizyty obejmują indywidualną ocenę oraz terapię dopasowaną bezpośrednio do Twoich potrzeb.
2026-08-01 20:32:23 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | test | Wszystkie wizyty obejmują indywidualną ocenę oraz terapię dopasowaną bezpośrednio do Twoich potrzeb.
2026-08-01 20:32:40 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | Cennik | Wszystkie wizyty obejmują indywidualną ocenę oraz terapię dopasowaną bezpośrednio do Twoich potrzeb.
2026-08-01 20:32:41 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | Cennik | Wszystkie wizyty obejmują indywidualną ocenę oraz terapię dopasowaną bezpośrednio do Twoich potrzeb.
2026-08-01 22:43:14 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | Cennik | Wszystkie wizyty obejmują indywidualną ocenę oraz terapię dopasowaną bezpośrednio do Twoich potrzeb.
2026-08-01 22:43:15 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | Cennik | Wszystkie wizyty obejmują indywidualną ocenę oraz terapię dopasowaną bezpośrednio do Twoich potrzeb.
2026-08-01 22:43:19 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | test | test
2026-08-01 22:46:57 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | Cennik | Tutaj będą ceny
2026-08-01 22:51:39 | MpFizAdm | 94.246.142.199 | Edycja pozycji | Wizyta w klasztorze | 666 PLN
2026-08-01 22:55:43 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | Cennik | gitara
2026-08-01 22:56:11 | MpFizAdm | 94.246.142.199 | Edycja pozycji | Wizyta w klasztorze | 666 PLN
2026-08-01 22:58:02 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | Cennik | gitara gra
2026-08-01 22:58:11 | MpFizAdm | 94.246.142.199 | Edycja pozycji | Wizyta w klasztorze | 666 PLN
2026-08-01 22:59:27 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | Cennik | gitara gra
2026-08-01 22:59:31 | MpFizAdm | 94.246.142.199 | Edycja pozycji | Wizyta w klasztorze | 666 PLN
2026-08-01 23:08:35 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | Cennik | gitara gra
2026-08-01 23:10:11 | MpFizAdm | 94.246.142.199 | Edycja pozycji | Ale fajnie działa | 10 zł
2026-08-01 23:10:30 | MpFizAdm | 94.246.142.199 | Edycja pozycji | Ale fajnie działa | 10 zł
2026-08-01 23:24:05 | MpFizAdm | 94.246.142.199 | Edycja pozycji | chochlik | 150 PLN
2026-08-01 23:35:22 | MpFizAdm | 94.246.142.199 | Dodanie nowej pozycji | ale jajca działa dodawanie | 66666
2026-08-01 23:37:07 | MpFizAdm | 94.246.142.199 | Usunięcie pozycji | Kinesiotaping | 
2026-08-01 23:37:33 | MpFizAdm | 94.246.142.199 | Nagłówek cennika |  | gitara gra
2026-08-01 23:37:41 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | Cennik | gitara gra
2026-08-01 23:38:57 | MpFizAdm | 94.246.142.199 | Nagłówek cennika | Test zmian | dzieje się
2026-08-01 23:39:40 | MpFizAdm | 94.246.142.199 | Dodanie nowej pozycji | Nowa pozycja | 170 zł
2026-08-01 23:40:38 | MpFizAdm | 94.246.142.199 | Edycja pozycji | Edycja | 170 zł
2026-08-01 23:40:53 | MpFizAdm | 94.246.142.199 | Usunięcie pozycji | chochlik | 
2026-08-02 09:50:34 | MpFizAdm | 94.246.142.199 | Cennik | Edycja | Nagłówek | Główny tytuł i opis | Tytuł: -> Tytuł: Cennik
2026-08-02 09:51:08 | MpFizAdm | 94.246.142.199 | Cennik | Edycja | Pozycja | Logi są wszędzie |  -> 10 zł
2026-08-02 09:52:53 | MpFizAdm | 94.246.142.199 | Cennik | Edycja | Nagłówek | Główny tytuł i opis | Tytuł: -> Tytuł: sprawdź tytuł główny
2026-08-02 09:53:45 | MpFizAdm | 94.246.142.199 | Cennik | Dodanie | Pozycja | 222 |  -> 4444
2026-08-02 09:54:22 | MpFizAdm | 94.246.142.199 | Cennik | Usunięcie | Pozycja | Ale fajnie działa | 40 zł -> 
2026-08-02 09:57:45 | MpFizAdm | 94.246.142.199 | Cennik | Edycja | Nagłówek | Tytuł, opis | Tytuł: sprawdź tytuł główny -> Tytuł: sprawdź tytuł główny
2026-08-02 10:00:27 | MpFizAdm | 94.246.142.199 | Cennik | Edycja | Nagłówek | Tytuł, opis | Tytuł: sprawdź tytuł główny -> Tytuł: nowy tytuł
2026-08-02 10:01:29 | MpFizAdm | 94.246.142.199 | Cennik | Edycja | Nagłówek | Tytuł, opis | Tytuł: nowy tytuł -> Tytuł: jeszcze nowy tytuł
2026-08-02 10:07:08 | MpFizAdm | 94.246.142.199 | Cennik | Edycja | Nagłówek | jeszcze nowy tytuł [;] nowy opis -> Zmiana tytułu [;] Zmiana opisu
2026-08-02 10:14:00 | MpFizAdm | 94.246.142.199 | Cennik | Edycja | Nagłówek | {"tytuł":{"old":"Zmiana tytułu","new":"Zmiana tytułu - stary"},"opis":{"old":"Zmiana opisu","new":"Zmiana opisu - stary"}}
2026-08-02 10:14:15 | MpFizAdm | 94.246.142.199 | Cennik | Edycja | Nagłówek | {"tytuł":{"old":"Zmiana tytułu - stary","new":"Zmiana tytułu - nowy"},"opis":{"old":"Zmiana opisu - stary","new":"Zmiana opisu - nowy"}}
2026-08-02 10:14:25 | MpFizAdm | 94.246.142.199 | Cennik | Edycja | Nagłówek | {"tytuł":{"old":"Zmiana tytułu - nowy","new":"Zmiana tytułu - nowy"},"opis":{"old":"Zmiana opisu - nowy","new":""}}
2026-08-02 10:14:33 | MpFizAdm | 94.246.142.199 | Cennik | Edycja | Nagłówek | {"tytuł":{"old":"Zmiana tytułu - nowy","new":"Zmiana tytułu - nowy"},"opis":{"old":"","new":"noo"}}
2026-08-02 10:16:21 | MpFizAdm | 94.246.142.199 | Cennik | Edycja | Pozycja | {"nazwa":{"old":"","new":"222 - nowy"},"cena":{"old":"","new":"nowy"},"opis":{"old":"","new":"nowy"}}
2026-08-02 10:16:43 | MpFizAdm | 94.246.142.199 | Cennik | Edycja | Pozycja | {"nazwa":{"old":"","new":"222 - stary"},"cena":{"old":"","new":"stary"},"opis":{"old":"","new":"stary"}}
2026-08-02 10:18:18 | MpFizAdm | 94.246.142.199 | Cennik | Edycja | Pozycja | {"nazwa":{"old":"222 - stary","new":"222 - nowy"},"cena":{"old":"stary","new":"nowy"},"opis":{"old":"stary","new":"nowy"}}
2026-08-02 10:19:46 | MpFizAdm | 94.246.142.199 | Cennik | Dodanie | Pozycja | {"nazwa":{"old":"","new":"dodanie"},"cena":{"old":"","new":"nowej"},"opis":{"old":"","new":"pozycji"}}
2026-08-02 10:20:52 | MpFizAdm | 94.246.142.199 | Cennik | Usunięcie | Pozycja | {"nazwa":{"old":"222 - nowy","new":""},"cena":{"old":"nowy","new":""},"opis":{"old":"nowy","new":""}}
2026-08-02 10:20:58 | MpFizAdm | 94.246.142.199 | Cennik | Usunięcie | Pozycja | {"nazwa":{"old":"dodanie","new":""},"cena":{"old":"nowej","new":""},"opis":{"old":"pozycji","new":""}}
2026-08-02 10:34:54 | MpFizAdm | 94.246.142.199 | Cennik | Edycja | Nagłówek | {"tytuł":{"old":"Zmiana tytułu - nowy","new":"Zmiana tytułu - nowy"},"opis":{"old":"noo","new":""}}
2026-08-02 10:35:10 | MpFizAdm | 94.246.142.199 | Cennik | Edycja | Nagłówek | {"tytuł":{"old":"Zmiana tytułu - nowy","new":""},"opis":{"old":"","new":""}}
2026-08-02 10:35:28 | MpFizAdm | 94.246.142.199 | Cennik | Usunięcie | Pozycja | {"nazwa":{"old":"Suche igłowanie \/ Terapia powięziowa","new":""},"cena":{"old":"30 zł","new":""},"opis":{"old":"Specjalistyczne techniki celowane wspierające terapię manualną i zniesienie bólu.","new":""}}
2026-08-02 10:36:55 | MpFizAdm | 94.246.142.199 | Cennik | Edycja | Nagłówek | {"tytuł":{"old":"","new":"Cennik"},"opis":{"old":"","new":"Opis"}}
2026-08-02 13:50:52 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Tekst | {"tag sekcji":{"old":"","new":"ojej"},"liczba akapitów":{"old":0,"new":0}}
2026-08-02 13:52:41 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Tekst | {"tag sekcji":{"old":"Poznajmy się","new":"Poznajmy się"},"liczba akapitów":{"old":4,"new":4}}
2026-08-02 13:52:46 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Tekst | {"tag sekcji":{"old":"Poznajmy się","new":"al ejajja"},"liczba akapitów":{"old":4,"new":4}}
2026-08-02 13:53:05 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Tekst | {"tag sekcji":{"old":"al ejajja","new":"al ejajja"},"liczba akapitów":{"old":4,"new":4}}
2026-08-02 13:53:57 | MpFizAdm | 94.246.142.199 | O mnie | Aktualizacja | Zdjęcie | {"plik":{"old":"img\/photos\/marta.webp","new":"img\/photos\/marta_profile_1785671637.png"}}
2026-08-02 13:53:57 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Wizytówka | {"opis pod zdjęciem":{"old":"Na czym skupiam się","new":"test obrazuuuu"},"liczba punktów listy":{"old":0,"new":0}}
2026-08-02 13:57:56 | MpFizAdm | 94.246.142.199 | O mnie | Modyfikacja | Zdjęcie (z serwera) | {"plik":{"old":"img\/photos\/marta_profile_1785671637.png","new":"img\/photos\/marta.webp"}}
2026-08-02 13:57:56 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Wizytówka | {"opis pod zdjęciem":{"old":"test obrazuuuu","new":"test obrazuuuu"},"liczba punktów listy":{"old":0,"new":2}}
2026-08-02 13:58:16 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Wizytówka | {"opis pod zdjęciem":{"old":"test obrazuuuu","new":"test obrazuuuu"},"liczba punktów listy":{"old":2,"new":1}}
2026-08-02 13:58:35 | MpFizAdm | 94.246.142.199 | O mnie | Modyfikacja | Zdjęcie (z serwera) | {"plik":{"old":"img\/photos\/marta.webp","new":"img\/photos\/marta_profile_1785671637.png"}}
2026-08-02 13:58:35 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Wizytówka | {"opis pod zdjęciem":{"old":"test obrazuuuu","new":"test obrazuuuu"},"liczba punktów listy":{"old":1,"new":1}}
2026-08-02 13:58:48 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Tekst | {"tag sekcji":{"old":"al ejajja","new":"al ejajja"},"liczba akapitów":{"old":4,"new":2}}
2026-08-02 13:59:50 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Tekst | {"tag sekcji":{"old":"al ejajja","new":"al ejajja"},"liczba akapitów":{"old":2,"new":8}}
2026-08-02 14:00:11 | MpFizAdm | 94.246.142.199 | O mnie | Modyfikacja | Zdjęcie (z serwera) | {"plik":{"old":"img\/photos\/marta_profile_1785671637.png","new":"img\/photos\/marta.webp"}}
2026-08-02 14:00:11 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Wizytówka | {"opis pod zdjęciem":{"old":"test obrazuuuu","new":"test obrazuuuu"},"liczba punktów listy":{"old":1,"new":1}}
2026-08-02 14:00:42 | MpFizAdm | 94.246.142.199 | O mnie | Modyfikacja | Zdjęcie (z serwera) | {"plik":{"old":"img\/photos\/marta.webp","new":"img\/photos\/marta_profile_1785671637.png"}}
2026-08-02 14:00:42 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Wizytówka | {"opis pod zdjęciem":{"old":"test obrazuuuu","new":"test obrazuuuu"},"liczba punktów listy":{"old":1,"new":1}}
2026-08-02 14:01:08 | MpFizAdm | 94.246.142.199 | O mnie | Aktualizacja | Zdjęcie | {"plik":{"old":"img\/photos\/marta_profile_1785671637.png","new":"img\/photos\/marta_profile_1785672068.jpg"}}
2026-08-02 14:01:08 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Wizytówka | {"opis pod zdjęciem":{"old":"test obrazuuuu","new":"test obrazuuuu"},"liczba punktów listy":{"old":1,"new":1}}
2026-08-02 14:01:21 | MpFizAdm | 94.246.142.199 | O mnie | Modyfikacja | Zdjęcie (z serwera) | {"plik":{"old":"img\/photos\/marta_profile_1785672068.jpg","new":"img\/photos\/marta.webp"}}
2026-08-02 14:01:21 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Wizytówka | {"opis pod zdjęciem":{"old":"test obrazuuuu","new":"test obrazuuuu"},"liczba punktów listy":{"old":1,"new":1}}
2026-08-02 18:32:45 | MpFizAdm | 94.246.142.199 | Cennik | Edycja | Nagłówek | {"tytuł":{"old":"Cennik","new":"test"},"opis":{"old":"Wszystkie wizyty obejmują indywidualną ocenę oraz terapię dopasowaną bezpośrednio do Twoich potrzeb.","new":"test"}}
2026-08-02 18:32:55 | MpFizAdm | 94.246.142.199 | Cennik | Dodanie | Pozycja | {"nazwa":{"old":"","new":"1111"},"cena":{"old":"","new":"11"},"opis":{"old":"","new":"1111"}}
2026-08-02 18:32:57 | MpFizAdm | 94.246.142.199 | Cennik | Usunięcie | Pozycja | {"nazwa":{"old":"Suche igłowanie \/ Terapia powięziowa","new":""},"cena":{"old":"150 zł","new":""},"opis":{"old":"Specjalistyczne techniki celowane wspierające terapię manualną i zniesienie bólu.","new":""}}
2026-08-02 18:32:59 | MpFizAdm | 94.246.142.199 | Cennik | Usunięcie | Pozycja | {"nazwa":{"old":"Wizyta w domu pacjenta","new":""},"cena":{"old":"180 zł","new":""},"opis":{"old":"Kompleksowa terapia w komfortowym środowisku domowym wraz z dojazdem.","new":""}}
2026-08-02 18:33:01 | MpFizAdm | 94.246.142.199 | Cennik | Usunięcie | Pozycja | {"nazwa":{"old":"Wizyta w gabinecie","new":""},"cena":{"old":"160 zł","new":""},"opis":{"old":"Ocena funkcjonalna, terapia manualna oraz plan dalszej pracy w gabinecie.","new":""}}
2026-08-02 18:33:04 | MpFizAdm | 94.246.142.199 | Cennik | Usunięcie | Pozycja | {"nazwa":{"old":"Trening medyczny","new":""},"cena":{"old":"160 zł","new":""},"opis":{"old":"Indywidualne ćwiczenia terapeutyczne dostosowane do Twojego celu sprawnościowego.","new":""}}
2026-08-02 21:20:08 | MpFizAdm | 94.246.142.199 | Cennik | Edycja | Pozycja | {"nazwa":{"old":"1111","new":"edycja"},"cena":{"old":"11","new":"edycja"},"opis":{"old":"1111","new":"ha ha gha"}}
2026-08-02 21:21:20 | MpFizAdm | 94.246.142.199 | Cennik | Dodanie | Pozycja | {"nazwa":{"old":"","new":"rrrrrrrr"},"cena":{"old":"","new":"111"},"opis":{"old":"","new":""}}
2026-08-03 14:08:27 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Tekst | {"tag sekcji":{"old":"Poznajmy się","new":"Poznajmy się"},"liczba akapitów":{"old":4,"new":2}}
2026-08-03 14:13:14 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Tekst | {"tag sekcji":{"old":"Poznajmy się","new":"erterterter"},"liczba akapitów":{"old":2,"new":3}}
2026-08-03 14:13:26 | MpFizAdm | 94.246.142.199 | O mnie | Edycja | Tekst | {"tag sekcji":{"old":"erterterter","new":"poznaj mnie"},"liczba akapitów":{"old":3,"new":3}}
